,news_date,news_counter,news_topic,news_title,news_time
0,2001-01-01 00:00:00,1,Tech Center,Toshiba Hopes to Restart Venture Talks,5:44 PM ET
1,2001-01-01 00:00:00,2,Major Business News,SEC Charges Underwriter With Fraud,3:05 PM ET
2,2001-01-01 00:00:00,3,Tech Center,Fashionmall Gets Buyout Offer,8:57 AM ET
3,2001-01-01 00:00:00,4,Indian Stocks,Profit-Taking Sinks Stocks,7:04 AM ET
4,2001-01-01 00:00:00,5,Swedish Stocks,Stocks Lose Early Gains,4:53 AM ET
5,2001-01-01 00:00:00,6,Spanish Stocks,Shares Gain in Thin Volume,4:43 AM ET
6,2001-01-01 00:00:00,7,South African Stocks,Stock Market Closes Lower,4:42 AM ET
7,2001-01-01 00:00:00,8,Italian Stocks,Index Ends Lower,4:41 AM ET
8,2001-01-01 00:00:00,9,Dutch Stocks,Dutch Shares Close Lower,4:41 AM ET
9,2001-01-01 00:00:00,10,German Stocks,Shares Rise at Year's End,4:40 AM ET
10,2001-01-01 00:00:00,11,French Stocks,Telecoms Bolster CAC,4:40 AM ET
11,2001-01-01 00:00:00,12,British Stocks,Vodafone Boosts FTSE,4:38 AM ET
12,2001-01-01 00:00:00,13,Belgian Stocks,Shares Rise in Slow Trading,4:37 AM ET
13,2001-01-01 00:00:00,14,Taiwanese Stocks,Nasdaq Losses Hit Techs,2:42 AM ET
14,2001-01-01 00:00:00,15,Hong Kong Stocks,Shares Close the Year Higher,1:45 AM ET
15,2001-01-01 00:00:00,16,Chinese Stocks,Chinese Stocks Close Higher,1:44 AM ET
16,2001-01-01 00:00:00,17,Australian Stocks,Shares Close the Year Higher,1:42 AM ET
17,2001-01-01 00:00:00,18,World-Wide,'Keating Five' Member Cranston Dies,12:01 AM ET
18,2001-01-01 00:00:00,19,Business and Finance - Asia,South Korea Trade Surplus Fell in 2000,12:01 AM ET
19,2001-01-02 00:00:00,1,Extra,The Right Recipe for Republicans,11:59 PM ET
20,2001-01-02 00:00:00,2,Year-End Review of Markets and Finance,Markets and Finance Statistics,11:59 PM ET
21,2001-01-02 00:00:00,3,Notable & Quotable,Notable & Quotable,11:59 PM ET
22,2001-01-02 00:00:00,4,Work Week,Work Week,10:54 PM ET
23,2001-01-02 00:00:00,5,Mexican Stocks,Shares Follow Nasdaq Lower,6:39 PM ET
24,2001-01-02 00:00:00,6,Tech Center,"AOL, Lycos Numbers Show Growth",6:28 PM ET
25,2001-01-02 00:00:00,7,Money & Investing,Nasdaq Composite Declines 7.2%,6:20 PM ET
26,2001-01-02 00:00:00,8,Politics & Policy,FDA Scrambles to Police Drug Ads,5:42 PM ET
27,2001-01-02 00:00:00,9,Argentine Stocks,Merval Makes Slight Gains,5:28 PM ET
28,2001-01-02 00:00:00,10,Brazilian Stocks,Banespa Boosts Brazil's Index,5:23 PM ET
29,2001-01-02 00:00:00,11,Tech Center,Kozmo Gets Tested During Snowstorm,5:16 PM ET
30,2001-01-02 00:00:00,12,Canadian Stocks,Earnings Worries Hit TSE,4:55 PM ET
31,2001-01-02 00:00:00,13,Tech Center,Viador Warns of Weak Sales,4:53 PM ET
32,2001-01-02 00:00:00,14,Tech Center,Efficient Networks to Miss Targets,4:49 PM ET
33,2001-01-02 00:00:00,15,Who's News,Alcoa Names CEO Belda Chairman,4:35 PM ET
34,2001-01-02 00:00:00,16,South African Stocks,Stocks Post Sharp Decline,4:11 PM ET
35,2001-01-02 00:00:00,17,Politics & Policy,"Greenspan, O'Neill to Miss Bush Forum",3:34 PM ET
36,2001-01-02 00:00:00,18,Italian Stocks,Wall Street Losses Hurt Shares,3:24 PM ET
37,2001-01-02 00:00:00,19,Law,Harvard Sues Firm Over Use of Name,3:15 PM ET
38,2001-01-02 00:00:00,20,Dutch Stocks,Dutch Shares Fall,2:53 PM ET
39,2001-01-02 00:00:00,21,Major Business News,"Boeing, Mitsubishi Enter Talks",2:26 PM ET
40,2001-01-02 00:00:00,22,German Stocks,Techs Pull Down DAX,2:17 PM ET
41,2001-01-02 00:00:00,23,Spanish Stocks,Techs Bog Down IBEX,2:13 PM ET
42,2001-01-02 00:00:00,24,Tech Center,Intershop Profit Warning Hits Market,2:07 PM ET
43,2001-01-02 00:00:00,25,French Stocks,CAC Falls as Telecoms Slide,1:52 PM ET
44,2001-01-02 00:00:00,26,Wine Ask,Muscadet With Shrimp,1:45 PM ET
45,2001-01-02 00:00:00,27,Wine Ask,Allergic to Most Wine,1:45 PM ET
46,2001-01-02 00:00:00,28,Swedish Stocks,Telecoms Weigh on Market,1:44 PM ET
47,2001-01-02 00:00:00,29,Wine Ask,Shelf Life of Champagne,1:44 PM ET
48,2001-01-02 00:00:00,30,British Stocks,FTSE Shares Close Lower,1:41 PM ET
49,2001-01-02 00:00:00,31,Year-End Review of Markets and Finance,J.P. Morgan: Douglas Cliggot,1:09 PM ET
50,2001-01-02 00:00:00,32,Year-End Review of Markets and Finance,Deutsche Bank: Edward Yardeni,1:01 PM ET
51,2001-01-02 00:00:00,33,Tech Center,Global Crossing Shifts Managers,12:59 PM ET
52,2001-01-02 00:00:00,34,Year-End Review of Markets and Finance,UBS Warburg: Edward Kerschner,12:58 PM ET
53,2001-01-02 00:00:00,35,Major Business News,PG&E Expects to Run Out of Cash,12:43 PM ET
54,2001-01-02 00:00:00,36,Business and Finance - Europe,Halliburton to Buy PGS Data Unit,12:15 PM ET
55,2001-01-02 00:00:00,37,Page One Feature,"To Decode Yemen, Find Who's in Charge",11:59 AM ET
56,2001-01-02 00:00:00,38,Tech Center,Letsbuyit.com Files for Protection,10:43 AM ET
57,2001-01-02 00:00:00,39,Venture Capitalist,VCs Find Value in Lessons Learned,9:51 AM ET
58,2001-01-02 00:00:00,40,Wine Day,What We're Drinking Now,9:26 AM ET
59,2001-01-02 00:00:00,41,Tech Center,WebMD Revises News Corp. Alliance,9:21 AM ET
60,2001-01-02 00:00:00,42,Belgian Stocks,"Banking, Tech Stocks Rise",9:11 AM ET
61,2001-01-02 00:00:00,43,Indian Stocks,Short Covering Lifts Stocks,7:16 AM ET
62,2001-01-02 00:00:00,44,Singaporean Stocks,Singapore Shares Retreat,7:13 AM ET
63,2001-01-02 00:00:00,45,Swiss Stocks,Adecco Withstands Decline,6:40 AM ET
64,2001-01-02 00:00:00,46,Business and Finance - Europe,Euro-Zone Manufacturing Growth Slows,5:26 AM ET
65,2001-01-02 00:00:00,47,Economy,Slower Growth Is Predicted for 2001,5:14 AM ET
66,2001-01-02 00:00:00,48,Indonesian Stocks,Political Uncertainty Hits Shares,4:59 AM ET
67,2001-01-02 00:00:00,49,Malaysian Stocks,Economic Forecast Hit Shares,4:39 AM ET
68,2001-01-02 00:00:00,50,Business and Finance - Asia,Korea's Industrial Output Rises 6.4%,4:32 AM ET
69,2001-01-02 00:00:00,51,Business and Finance - Asia,South Korean Consumer Prices Rise,4:31 AM ET
70,2001-01-02 00:00:00,52,Hong Kong Stocks,Blue Chips Hit Market,4:26 AM ET
71,2001-01-02 00:00:00,53,Chinese Stocks,Class B Shares Close Mixed,4:13 AM ET
72,2001-01-02 00:00:00,54,South Korean Stocks,Foreign Funds Lift Shares,3:18 AM ET
73,2001-01-02 00:00:00,55,Taiwanese Stocks,Merger Hopes Lift Shares,2:11 AM ET
74,2001-01-02 00:00:00,56,Australian Stocks,Shares Finish Higher,12:59 AM ET
75,2001-01-02 00:00:00,57,Politics & Policy,Republican Governors Are Overlooked,12:38 AM ET
76,2001-01-02 00:00:00,58,World-Wide,"Palestinian, Israeli Strife Blazes On",12:30 AM ET
77,2001-01-02 00:00:00,59,Philippine Stocks,Shares Slide After Bombings,12:18 AM ET
78,2001-01-02 00:00:00,60,Commentary,"Bye-Bye, Barriers",12:18 AM ET
79,2001-01-02 00:00:00,61,Business and Finance - Europe,French Unemployment Falls to 9.2%,12:01 AM ET
80,2001-01-02 00:00:00,62,Major Business News,LTV Files for Bankruptcy Protection,12:01 AM ET
81,2001-01-02 00:00:00,63,Business and Finance - Asia,Chinese GDP Rose by 8% in 2000,12:01 AM ET
82,2001-01-02 00:00:00,64,Business and Finance - Asia,Banpu Embarks on a Buying Spree,12:01 AM ET
83,2001-01-02 00:00:00,65,Heard in Asia,Japan Investors Should Be Wary,12:01 AM ET
84,2001-01-02 00:00:00,66,Business and Finance - Asia,Three Japanese Banks Consider Merger,12:01 AM ET
85,2001-01-02 00:00:00,67,Money & Investing,Thai Authorities May Merge Banks,12:01 AM ET
86,2001-01-02 00:00:00,68,Major Business News,Tyson Wins Fight for IBP,12:01 AM ET
87,2001-01-02 00:00:00,69,Business and Finance - Asia,Malaysian Banks Complete Merger,12:01 AM ET
88,2001-01-02 00:00:00,70,Business and Finance - Asia,Analysts Are Wary of Taiwan Plan,12:01 AM ET
89,2001-01-02 00:00:00,71,Tech Center,Tech Bellwethers to Watch in 2001,12:01 AM ET
90,2001-01-02 00:00:00,72,Media & Marketing,EM.TV's CEO Is Under Fire Again,12:01 AM ET
91,2001-01-02 00:00:00,73,IPO,Orange Issue Will Be Bellwether,12:01 AM ET
92,2001-01-02 00:00:00,74,Business and Finance - Europe,Squabbles Hinder Czech Growth,12:01 AM ET
93,2001-01-02 00:00:00,75,International Commentary,Terrible Twos?,12:01 AM ET
94,2001-01-02 00:00:00,76,Business Focus,Oil Companies Plan Big Investments,12:01 AM ET
95,2001-01-02 00:00:00,77,Health,EU Criticizes Germany on Mad-Cow Disease,12:01 AM ET
96,2001-01-02 00:00:00,78,International Commentary,When 'Sorry' Is the Hardest Word,12:01 AM ET
97,2001-01-02 00:00:00,79,Review & Outlook,"On, Wisconsin",12:01 AM ET
98,2001-01-02 00:00:00,80,Letters to the Editor,Letters to the Editor,12:01 AM ET
99,2001-01-02 00:00:00,81,Pepper...and Salt,Pepper . . . and Salt,12:01 AM ET
100,2001-01-02 00:00:00,82,Review & Outlook,In Pharaoh's Kingdom,12:01 AM ET
101,2001-01-02 00:00:00,83,Tech Center,Dot-Coms Try to Fend Off Unions,12:01 AM ET
102,2001-01-02 00:00:00,84,Tech Center,Intel Plans to Expand Consumer Line,12:01 AM ET
103,2001-01-02 00:00:00,85,Economy,Hyman Is Named Top Forecaster,12:01 AM ET
104,2001-01-02 00:00:00,86,Marketplace,Las Vegas Stops Fighting Its Image,12:01 AM ET
105,2001-01-02 00:00:00,87,Editorial Page,The Right Recipe for Republicans,12:01 AM ET
106,2001-01-02 00:00:00,88,Health,"Gene Is Linked to Breast, Ovarian Cancer",12:01 AM ET
107,2001-01-02 00:00:00,89,Small Business Suite,Database Firm Seeks to Regain Momentum,12:01 AM ET
108,2001-01-02 00:00:00,90,Business Focus,Natural Gas Inventory Hits Record Low,12:01 AM ET
109,2001-01-02 00:00:00,91,Law,U.S. Loses Battle Over Drilling Leases,12:01 AM ET
110,2001-01-02 00:00:00,92,Media & Marketing,Strikers at Seattle Times Reject Offer,12:01 AM ET
111,2001-01-02 00:00:00,93,Notable & Quotable,Notable & Quotable,12:01 AM ET
112,2001-01-02 00:00:00,94,Americas,Mexico May Have to Cut Spending,12:01 AM ET
113,2001-01-02 00:00:00,95,Marketplace,Career Journal,12:01 AM ET
114,2001-01-02 00:00:00,96,The Gallery,Urban O'Keeffe,12:01 AM ET
115,2001-01-02 00:00:00,97,Leisure & Arts,Hot Dog! 'Big Apple' Explained,12:01 AM ET
116,2001-01-02 00:00:00,98,Major Business News,Montgomery Ward Files for Protection,12:01 AM ET
117,2001-01-02 00:00:00,99,Major Business News,California Continues to Consume,12:01 AM ET
118,2001-01-02 00:00:00,100,Media & Marketing,Henkel Buys Mexican Detergent Brand,12:01 AM ET
119,2001-01-02 00:00:00,101,Tech Center,Singapore Revamps Libraries,12:01 AM ET
120,2001-01-02 00:00:00,102,Americas,Ecuador's GDP Rose in Third Quarter,12:01 AM ET
121,2001-01-02 00:00:00,103,Tech Center,Computer-Chip Sales Climb 31%,12:01 AM ET
122,2001-01-02 00:00:00,104,Who's News,Who's News Briefs,12:01 AM ET
123,2001-01-02 00:00:00,105,Page One Feature,GE Races to Avert Further Jet Breakups,12:01 AM ET
124,2001-01-02 00:00:00,106,Page One Feature,Fast Finns Find Fines Fit Their Finances,12:01 AM ET
125,2001-01-02 00:00:00,107,Tech Center,Napster Files Intellectual-Property Suit,12:01 AM ET
126,2001-01-02 00:00:00,108,Law,SEC Charges Pacific Genesis With Fraud,12:01 AM ET
127,2001-01-02 00:00:00,109,Earnings Focus,Carrier Access Issues Earnings Warning,12:01 AM ET
128,2001-01-02 00:00:00,110,Earnings Focus,Pizza Inn Expects Lower Profits,12:01 AM ET
129,2001-01-02 00:00:00,111,News from Handelsblatt,AMB Acquires E&V Stake,12:01 AM ET
130,2001-01-02 00:00:00,112,Who's News,Hong Kong Bourse Chairman Retires,12:01 AM ET
131,2001-01-02 00:00:00,113,Who's News,USData Financial Chief Drury Resigns,12:01 AM ET
132,2001-01-03 00:00:00,1,Pepper...and Salt,Pepper . . . and Salt,11:59 PM ET
133,2001-01-03 00:00:00,2,Tech Briefs,Tech Briefs,11:59 PM ET
134,2001-01-03 00:00:00,3,Business and Finance - Asia,Hong Kong Cuts Interest Rates,11:15 PM ET
135,2001-01-03 00:00:00,4,Tech Center,"Listen.com, Space.com Set Layoffs",7:36 PM ET
136,2001-01-03 00:00:00,5,Tech Center,Web Mergers Doubled in 2000,7:29 PM ET
137,2001-01-03 00:00:00,6,Major Business News,Boeing Team Wins Satellite Contract,6:34 PM ET
138,2001-01-03 00:00:00,7,Marketplace,Country Life Grows Chic in China,6:13 PM ET
139,2001-01-03 00:00:00,8,Voices,Football Foibles,6:04 PM ET
140,2001-01-03 00:00:00,9,Voices,Rumsfeld's Challenge,5:48 PM ET
141,2001-01-03 00:00:00,10,Brazilian Stocks,Upgrade Adds to Rally,5:47 PM ET
142,2001-01-03 00:00:00,11,Canadian Stocks,Index Surges After U.S. News,5:23 PM ET
143,2001-01-03 00:00:00,12,Mexican Stocks,U.S. Fed Move Boosts Shares,5:22 PM ET
144,2001-01-03 00:00:00,13,Argentine Stocks,U.S. Fed Cut Spurs Buying,5:20 PM ET
145,2001-01-03 00:00:00,14,Voices,Kann's Report,5:10 PM ET
146,2001-01-03 00:00:00,15,Business and Finance - Asia,"Regulators, Qantas, Ansett Discuss Bids",4:42 PM ET
147,2001-01-03 00:00:00,16,Business and Finance - Asia,Telstra Appoints Moffatt to CFO Position,4:39 PM ET
148,2001-01-03 00:00:00,17,Major Business News,Korean Auto Makers' Sales Rose in 2000,4:28 PM ET
149,2001-01-03 00:00:00,18,Wine Ask,A Holiday Wine Gift,4:20 PM ET
